contactName,contactTitle,address,city,region,postalCode,country,phone,fax
Maria Anders,Sales Representative,Obere Str. 57,Berlin,NULL,12209,Germany,030-0074321,030-0076545
Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,NULL,5021,Mexico,(5) 555-4729,(5) 555-3745
Antonio Moreno,Owner,Mataderos  2312,México D.F.,NULL,5023,Mexico,(5) 555-3932,NULL
Thomas Hardy,Sales Representative,120 Hanover Sq.,London,NULL,WA1 1DP,UK,(171) 555-7788,(171) 555-6750
Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,NULL,S-958 22,Sweden,0921-12 34 65,0921-12 34 67
Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,NULL,68306,Germany,0621-08460,0621-08924
Frédérique Citeaux,Marketing Manager,24, place Kléber,Strasbourg,NULL,67000,France,88.60.15.31
Martín Sommer,Owner,C/ Araquil,67,Madrid,NULL,28023,Spain,(91) 555 22 82
Laurence Lebihan,Owner,12, rue des Bouchers,Marseille,NULL,13008,France,91.24.45.40
Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,NULL,EC2 5NT,UK,(171) 555-1212,NULL
Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,NULL,1010,Argentina,(1) 135-5555,(1) 135-4892
Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,NULL,5022,Mexico,(5) 555-3392,(5) 555-7293
Yang Wang,Owner,Hauptstr. 29,Bern,NULL,3012,Switzerland,0452-076545,NULL
Pedro Afonso,Sales Associate,Av. dos Lusíadas,23,Sao Paulo,SP,05432-043,Brazil,(11) 555-7647
Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,NULL,WX1 6LT,UK,(171) 555-2282,(171) 555-9199
Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,NULL,52066,Germany,0241-039123,0241-059428
Janine Labrune,Owner,67, rue des Cinquante Otages,Nantes,NULL,44000,France,40.67.88.88
Ann Devon,Sales Agent,35 King George,London,NULL,WX3 6FW,UK,(171) 555-0297,(171) 555-3373
Roland Mendel,Sales Manager,Kirchgasse 6,Graz,NULL,8010,Austria,7675-3425,7675-3426
Aria Cruz,Marketing Assistant,Rua Orós,92,Sao Paulo,SP,05442-030,Brazil,(11) 555-9857
Diego Roel,Accounting Manager,C/ Moralzarzal,86,Madrid,NULL,28034,Spain,(91) 555 94 44
Martine Rancé,Assistant Sales Agent,184, chaussée de Tournai,Lille,NULL,59000,France,20.16.10.16
Maria Larsson,Owner,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden,0695-34 67 21,NULL
Peter Franken,Marketing Manager,Berliner Platz 43,München,NULL,80805,Germany,089-0877310,089-0877451
Carine Schmitt,Marketing Manager,54, rue Royale,Nantes,NULL,44000,France,40.32.21.21
Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,NULL,10100,Italy,011-4988260,011-4988261
Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal,(1) 354-2534,(1) 354-2535
Eduardo Saavedra,Marketing Manager,Rambla de Cataluña,23,Barcelona,NULL,8022,Spain,(93) 203 4560
José Pedro Freyre,Sales Manager,C/ Romero,33,Sevilla,NULL,41101,Spain,(95) 555 82 82
André Fonseca,Sales Associate,Av. Brasil,442,Campinas,SP,04876-786,Brazil,(11) 555-9482
Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,NULL
Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397
Mario Pontes,Accounting Manager,Rua do Paço,67,Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091
Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376
